time,text,post_url,target
2022-03-04 16:55:06,"The president of the International Paralympic Committee broke protocol in his speech at the opening ceremony of the Beijing Games on Friday, saying he was “horrified” by Russia’s invasion of Ukraine.

NYTIMES.COM
Paralympics President Rebukes Russia at Opening Ceremony",https://facebook.com/nytimes/posts/10152885022724999,others
2022-03-04 16:25:05,"Russia’s war in Ukraine is not only reshaping the strategic and political order in Europe, it is also upending long-held assumptions about the intricate connections that are a signature of the global economy.

NYTIMES.COM
Economic Ties Among Nations Spur Peace. Or Do They?",https://facebook.com/nytimes/posts/10152885009864999,others
2022-03-04 16:10:08,"“The only thing we hear is blasts, and it is nonstop.”

Mariupol, a key port city in southern Ukraine, has been under siege for days, leaving civilian areas burning and destroyed, according to video verified by The New York Times and interviews with residents.

NYTIMES.COM
‘The only thing we hear is blasts’: Residents said the port city of Mariupol is nearing a ‘humanitarian disaster.’",https://facebook.com/nytimes/posts/10152885002239999,sad
2022-03-04 15:55:03,"NATO officials on Friday accused Russia of using cluster bombs in its invasion of Ukraine but rejected Kyiv’s plea to impose a no-fly zone over Ukrainian airspace, fearing that would draw the military alliance into a larger war with Russia.

NYTIMES.COM
NATO Accuses Russia of Using Cluster Bombs in Ukraine",https://facebook.com/nytimes/posts/10152884992929999,sad
2022-03-04 15:25:06,"The Biden administration and European officials are aiming to devastate the Russian economy with sanctions to pressure President Vladimir Putin to end his war in Ukraine, contradicting earlier declarations by U.S. officials that they would refrain from inflicting pain on ordinary Russians.

NYTIMES.COM
With Sanctions, U.S. and Europe Aim to Punish Putin and Fuel Russian Unrest",https://facebook.com/nytimes/posts/10152884978514999,others
2022-03-04 15:10:06,"Russia passed a law Friday punishing the spreading of ""false information"" about Russia’s forces with as much as 15 years in prison. The law could make a criminal offense of simply calling the war a ""war"" and will take effect as soon as Saturday.

NYTIMES.COM
Russia Steps Up Censorship With Law Against ‘False Information’",https://facebook.com/nytimes/posts/10152884970499999,angry
2022-03-04 14:55:04,"Facebook was blocked by the Russian government on Friday, as the Kremlin aims to limit spaces for dissent about the war in Ukraine. Instagram and WhatsApp, which are more popular than the Facebook app in Russia, are unaffected, the company said.

Follow live updates:

NYTIMES.COM
Ukraine Live Updates: Panic Grips Some Cities as Russia Tightens Cordon",https://facebook.com/nytimes/posts/10152884963604999,sad
2022-03-04 14:40:06,"The BBC said on Friday that it was temporarily suspending its operations in Russia after the country’s parliament passed a censorship law that penalizes anyone deemed to be “discrediting” the Russian military with 15 years in prison. It will still offer Russian-language news from outside Russia and its journalists in Ukraine will continue to report on the Russian invasion. https://nyti.ms/3hC9Ypx

NYTIMES.COM
BBC suspends its operations in Russia after strict censorship law is passed.",https://facebook.com/nytimes/posts/10152884956744999,others
2022-03-04 14:25:02,"Shane Warne, one of the greatest cricket players of all time, and a larger-than-life figure on and off the field, died Friday in Thailand. He was 52. https://nyti.ms/3CfZNAt",https://facebook.com/nytimes/posts/10152884945179999,others
2022-03-04 14:10:02,"Cultural institutions worldwide are grappling with whether to boycott Russian artists as the war in Ukraine continues. While attention has focused on those close to President Vladimir Putin, measures are also being taken against Russians with no apparent ties to him.

NYTIMES.COM
To Boycott Russians, or Not? In Film and Beyond, That’s the Question.",https://facebook.com/nytimes/posts/10152884929234999,sad
